id,place_name,road_address_name,x,y,restaurant_id
1,몽짬뽕 경산점,경북 경산시 원효로42길 27-16,128.75812445142165,35.816766353151415,20638851
2,백정육회,경북 경산시 둥지로10길 2,128.7531133,35.84204945,1258680088
3,손시스시 본점,경북 경산시 대학로 325,128.75656645746332,35.83924517671622,27407049
4,에이바이트키친,경북 경산시 청운로 1,128.7516166,35.83659245,27407036
5,영남동,경북 경산시 대학로61길 24,128.7535444,35.83981108,444340519
6,영대막창,경북 경산시 대학로 277,128.7525018,35.8363885,14541884
7,오늘김해뒷고기 영남대점,경북 경산시 청운1로 28-3,128.7536934,35.83863834,1566612864
8,맛있는오칠구 영남대점,경북 경산시 둥지로 2,128.7562269,35.83930421,434788818
9,온어데일리,경북 경산시 청운로 12,128.7525049,35.83672728,226916996
10,용용선생 영남대점,경북 경산시 대학로59길 14,128.753347,35.83833701,143343585
11,유비칼국수,경북 경산시 압량읍 압독2로2길 23,128.7629749,35.84097878,880781940
12,장군찜닭,서울 서대문구 이화여대길 45,126.9455565,37.55894067,1944426914
13,청춘양식당 영대점,경북 경산시 청운로 25-1,128.7535106,35.83777232,746623517
14,카츠D9디나인,경북 경산시 청운로 5,128.751965,35.83673515,2020305821
15,타이짬뽕 사동점,경북 경산시 원효로 180,128.7559495,35.81948712,26353366
16,해피치즈스마일 영남대점,경북 경산시 청운1로 24,128.752935,35.8383223,1032781993
17,홍대함바그,경북 경산시 청운로 13-1,128.7525015,35.83717789,1323716207
18,후라이드참잘하는집 영남대점,경북 경산시 대학로61길 12-3,128.75416190828508,35.83930824427001,277055458
19,해쉬,경북 경산시 대동안길 19,128.7523348,35.83845631,1956466361
20,자야,경북 경산시 청운로 23-1,128.7532172,35.83771893,983114429
21,장군찜닭,경북 경산시 청운1로 6-1,128.75154810759466,35.83750538228979,11300334
22,88식당,경북 경산시 대학로53길 12-3,128.7515081385601,35.837096854368625,1883770159
23,가보뚝배기24시감자탕,경북 경산시 청운로 15,128.752855,35.8371511,15752650
24,고기듬뿍대왕비빔밥 영대점,경북 경산시 대학로70길 31,128.7593789,35.83790821,714569417
25,길가네국밥,경북 경산시 압량읍 대학로69길 2,128.7580115,35.84033422,11385265
26,꽃뚜껑 영대점,경북 경산시 대학로59길 11-1,128.7533791,35.83793194,287757696
27,돈까스에빠지다 경산영대점,경북 경산시 청운로 29,128.7540036,35.83805168,392495073
28,돈우리,경북 경산시 청운로 37,128.7546431,35.83854517,10306127
29,동궁찜닭 영대점,경북 경산시 대학로53길 12-6,128.7516946,35.83702114,777963780
